project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
monica;1.6.2;2018-02-16T21:22:37+0100;2018-02-17T12:27:13+0100;1;2;2.0;79;2;0.5;369;158;211;8;0;491;973;8;1675;354;21;6349;15.1;11;492;83;389;490;4939;;
monica;1.6.1;2018-01-26T01:32:43+0100;2018-02-16T21:22:37+0100;22;32;14.546;77;5;0.0498;22410;14445;7965;172;0;491;973;8;1675;354;21;6349;15.1;11;492;83;389;490;4939;;
monica;1.6.0;2018-01-15T01:06:12+0100;2018-01-26T01:32:43+0100;12;19;15.834;45;3;0.1195;11255;10690;565;96;0;482;957;9;1586;106;20;1259;3.6;11;482;80;382;480;4705;;
monica;1.5.0;2018-01-08T20:58:32+0100;2018-01-15T01:06:12+0100;7;26;37.143;26;8;0.0588;3924;3328;596;92;0;466;930;9;1525;106;20;1258;3.6;11;466;70;376;464;4553;;
simgrid;3.25.1;2020-02-02T06:05:27+0100;2020-03-03T05:19:52+0100;30;160;53.334;1468;5;0.0224;28598;16159;12439;263;0;819;11762;498;14835;19;8;319;0.3;96;819;218;5;819;95614;;
simgrid;3.24.1;2019-10-10T04:53:55+0200;2020-02-02T06:05:27+0100;116;668;57.587;1308;8;0.0063;71239;42164;29075;1170;0;665;11655;344;14587;19;8;319;0.3;94;665;223;4;665;91279;;
simgrid;3.24;2019-10-09T04:55:01+0200;2019-10-10T04:53:55+0200;1;19;19.0;640;4;0.1204;414;238;176;18;0;757;14333;423;17514;52;9;590;0.4;114;757;218;2;757;100176;;
simgrid;3.23.3;2019-07-07T04:42:38+0200;2019-10-09T04:55:01+0200;95;458;48.211;621;12;0.0069;206748;118798;87950;690;1;760;14331;424;17511;52;9;590;0.4;114;761;220;2;761;100211;;
simgrid;3.23.1;2019-06-25T04:42:33+0200;2019-07-07T04:42:38+0200;13;84;64.616;163;6;0.0389;10676;7771;2905;175;0;751;14089;417;17184;38;6;476;0.3;117;751;217;0;750;93566;;
simgrid;3.22.5;2019-06-06T04:46:40+0200;2019-06-25T04:42:33+0200;19;79;41.579;79;6;0.0865;4918;2590;2328;85;0;753;14111;393;17216;38;6;476;0.3;117;753;236;7;752;93427;;
sonarqube;8.3-SNAPSHOT;2020-02-26T11:34:10+0100;2020-02-28T21:14:02+0100;3;0;0.0;2245;0;0;0;0;0;0;51;3262;19365;99;47184;176;141;4163;0.9;701;3320;1244;1112;2198;79804;;
sonarqube;8.2-SNAPSHOT;2020-02-21T09:15:30+0100;2020-02-26T11:34:10+0100;6;38;63.334;2245;12;0.0489;19908;12712;7196;239;51;3263;19364;99;47183;176;141;4163;0.9;701;3321;1245;1112;2199;79804;;
sonarqube;7.9.3-SNAPSHOT;2019-12-17T16:05:06+0100;2020-02-21T09:15:30+0100;66;208;31.516;2207;21;0.0105;139635;89818;49817;1930;60;4049;19663;213;48291;195;161;4527;0.9;712;4120;1681;1290;3039;82288;;
